country.name,year,ghg.emissions.per.capita.tonnes
Austria,1990,10.4
Austria,1991,10.7
Austria,1992,9.8
Austria,1993,9.8
Austria,1994,9.8
Austria,1995,10.2
Austria,1996,10.6
Austria,1997,10.5
Austria,1998,10.4
Austria,1999,10.2
Austria,2000,10.3
Austria,2001,10.7
Austria,2002,10.8
Austria,2003,11.5
Austria,2004,11.4
Austria,2005,11.5
Austria,2006,11.1
Austria,2007,10.8
Austria,2008,10.7
Austria,2009,9.9
Austria,2010,10.4
Austria,2011,10.1
Austria,2012,9.7
Austria,2013,9.7
Austria,2014,9.2
Austria,2015,9.4
Austria,2016,9.4
Austria,2017,9.6
Belgium,1990,15
Belgium,1991,15.2
Belgium,1992,15.1
Belgium,1993,14.9
Belgium,1994,15.3
Belgium,1995,15.5
Belgium,1996,15.9
Belgium,1997,15.1
Belgium,1998,15.6
Belgium,1999,15
Belgium,2000,15.1
Belgium,2001,14.8
Belgium,2002,14.6
Belgium,2003,14.6
Belgium,2004,14.7
Belgium,2005,14.2
Belgium,2006,13.9
Belgium,2007,13.5
Belgium,2008,13.4
Belgium,2009,12.1
Belgium,2010,12.6
Belgium,2011,11.5
Belgium,2012,11.1
Belgium,2013,11
Belgium,2014,10.5
Belgium,2015,10.8
Belgium,2016,10.6
Belgium,2017,10.5
Bulgaria,1990,11.8
Bulgaria,1991,9.7
Bulgaria,1992,9.2
Bulgaria,1993,9.2
Bulgaria,1994,8.8
Bulgaria,1995,9
Bulgaria,1996,9
Bulgaria,1997,8.7
Bulgaria,1998,8.3
Bulgaria,1999,7.4
Bulgaria,2000,7.3
Bulgaria,2001,7.9
Bulgaria,2002,7.7
Bulgaria,2003,8.3
Bulgaria,2004,8.3
Bulgaria,2005,8.4
Bulgaria,2006,8.6
Bulgaria,2007,9.1
Bulgaria,2008,9
Bulgaria,2009,7.8
Bulgaria,2010,8.3
Bulgaria,2011,9
Bulgaria,2012,8.4
Bulgaria,2013,7.7
Bulgaria,2014,8.2
Bulgaria,2015,8.7
Bulgaria,2016,8.4
Bulgaria,2017,8.8
Croatia,1990,6.8
Croatia,1991,5.4
Croatia,1992,5.1
Croatia,1993,5.1
Croatia,1994,4.9
Croatia,1995,5
Croatia,1996,5.2
Croatia,1997,5.5
Croatia,1998,5.6
Croatia,1999,5.9
Croatia,2000,5.8
Croatia,2001,6.3
Croatia,2002,6.6
Croatia,2003,6.9
Croatia,2004,6.9
Croatia,2005,7
Croatia,2006,7.1
Croatia,2007,7.4
Croatia,2008,7.2
Croatia,2009,6.7
Croatia,2010,6.6
Croatia,2011,6.6
Croatia,2012,6.1
Croatia,2013,5.9
Croatia,2014,5.7
Croatia,2015,5.8
Croatia,2016,5.9
Croatia,2017,6.2
Cyprus,1990,11
Cyprus,1991,11.8
Cyprus,1992,12.2
Cyprus,1993,12.2
Cyprus,1994,12.3
Cyprus,1995,12.1
Cyprus,1996,12.4
Cyprus,1997,12.4
Cyprus,1998,12.8
Cyprus,1999,13
Cyprus,2000,13.3
Cyprus,2001,13.3
Cyprus,2002,13.4
Cyprus,2003,13.9
Cyprus,2004,13.8
Cyprus,2005,13.8
Cyprus,2006,13.8
Cyprus,2007,14
Cyprus,2008,13.8
Cyprus,2009,13.1
Cyprus,2010,12.4
Cyprus,2011,11.7
Cyprus,2012,10.9
Cyprus,2013,10
Cyprus,2014,10.6
Cyprus,2015,10.7
Cyprus,2016,11.3
Cyprus,2017,11.6
Czech Republic,1990,19.3
Czech Republic,1991,17.6
Czech Republic,1992,16.9
Czech Republic,1993,16.2
Czech Republic,1994,15.4
Czech Republic,1995,15.4
Czech Republic,1996,15.7
Czech Republic,1997,15.2
Czech Republic,1998,14.7
Czech Republic,1999,13.7
Czech Republic,2000,14.7
Czech Republic,2001,14.8
Czech Republic,2002,14.4
Czech Republic,2003,14.8
Czech Republic,2004,14.9
Czech Republic,2005,14.6
Czech Republic,2006,14.7
Czech Republic,2007,14.8
Czech Republic,2008,14.2
Czech Republic,2009,13.3
Czech Republic,2010,13.5
Czech Republic,2011,13.3
Czech Republic,2012,12.9
Czech Republic,2013,12.4
Czech Republic,2014,12.2
Czech Republic,2015,12.3
Czech Republic,2016,12.4
Czech Republic,2017,12.3
Denmark,1990,14
Denmark,1991,16
Denmark,1992,14.8
Denmark,1993,15.2
Denmark,1994,16
Denmark,1995,15.3
Denmark,1996,17.7
Denmark,1997,15.9
Denmark,1998,15.1
Denmark,1999,14.6
Denmark,2000,13.7
Denmark,2001,13.9
Denmark,2002,13.8
Denmark,2003,14.7
Denmark,2004,13.5
Denmark,2005,12.7
Denmark,2006,14.1
Denmark,2007,13.2
Denmark,2008,12.4
Denmark,2009,11.8
Denmark,2010,11.8
Denmark,2011,10.8
Denmark,2012,10
Denmark,2013,10.2
Denmark,2014,9.5
Denmark,2015,8.9
Denmark,2016,9.3
Denmark,2017,8.8
Estonia,1990,25.8
Estonia,1991,24
Estonia,1992,17.8
Estonia,1993,14.3
Estonia,1994,15.1
Estonia,1995,14.1
Estonia,1996,14.8
Estonia,1997,14.8
Estonia,1998,13.7
Estonia,1999,12.7
Estonia,2000,12.5
Estonia,2001,12.8
Estonia,2002,12.5
Estonia,2003,14
Estonia,2004,14.3
Estonia,2005,14.3
Estonia,2006,13.8
Estonia,2007,16.7
Estonia,2008,15.1
Estonia,2009,12.6
Estonia,2010,16
Estonia,2011,16.1
Estonia,2012,15.4
Estonia,2013,16.8
Estonia,2014,16.2
Estonia,2015,13.9
Estonia,2016,15.1
Estonia,2017,16
EU28,1990,12
EU28,1991,11.8
EU28,1992,11.4
EU28,1993,11.2
EU28,1994,11.1
EU28,1995,11.2
EU28,1996,11.4
EU28,1997,11.2
EU28,1998,11.1
EU28,1999,10.8
EU28,2000,10.8
EU28,2001,10.9
EU28,2002,10.8
EU28,2003,11
EU28,2004,10.9
EU28,2005,10.8
EU28,2006,10.8
EU28,2007,10.6
EU28,2008,10.4
EU28,2009,9.6
EU28,2010,9.8
EU28,2011,9.5
EU28,2012,9.3
EU28,2013,9.1
EU28,2014,8.7
EU28,2015,8.8
EU28,2016,8.7
EU28,2017,8.8
Finland,1990,14.5
Finland,1991,14
Finland,1992,13.6
Finland,1993,13.9
Finland,1994,15
Finland,1995,14.3
Finland,1996,15.4
Finland,1997,15.1
Finland,1998,14.3
Finland,1999,14.2
Finland,2000,13.8
Finland,2001,14.8
Finland,2002,15.2
Finland,2003,16.6
Finland,2004,15.9
Finland,2005,13.6
Finland,2006,15.7
Finland,2007,15.4
Finland,2008,13.8
Finland,2009,13
Finland,2010,14.4
Finland,2011,13
Finland,2012,11.9
Finland,2013,11.9
Finland,2014,11.1
Finland,2015,10.4
Finland,2016,10.9
Finland,2017,10.4
France,1990,9.6
France,1991,10
France,1992,9.8
France,1993,9.4
France,1994,9.2
France,1995,9.3
France,1996,9.6
France,1997,9.4
France,1998,9.6
France,1999,9.5
France,2000,9.3
France,2001,9.3
France,2002,9.2
France,2003,9.2
France,2004,9.1
France,2005,9.1
France,2006,8.8
France,2007,8.6
France,2008,8.5
France,2009,8.1
France,2010,8.1
France,2011,7.7
France,2012,7.7
France,2013,7.6
France,2014,7.1
France,2015,7.2
France,2016,7.2
France,2017,7.2
Germany,1990,15.9
Germany,1991,15.2
Germany,1992,14.5
Germany,1993,14.3
Germany,1994,14
Germany,1995,13.9
Germany,1996,14.1
Germany,1997,13.7
Germany,1998,13.4
Germany,1999,13
Germany,2000,13
Germany,2001,13.1
Germany,2002,12.8
Germany,2003,12.8
Germany,2004,12.6
Germany,2005,12.3
Germany,2006,12.4
Germany,2007,12.1
Germany,2008,12.2
Germany,2009,11.4
Germany,2010,11.8
Germany,2011,11.8
Germany,2012,11.8
Germany,2013,12
Germany,2014,11.5
Germany,2015,11.4
Germany,2016,11.4
Germany,2017,11.3
Greece,1990,10.4
Greece,1991,10.2
Greece,1992,10.3
Greece,1993,10.2
Greece,1994,10.4
Greece,1995,10.6
Greece,1996,10.8
Greece,1997,11.2
Greece,1998,11.7
Greece,1999,11.7
Greece,2000,11.9
Greece,2001,11.9
Greece,2002,11.9
Greece,2003,12.3
Greece,2004,12.3
Greece,2005,12.6
Greece,2006,12.3
Greece,2007,12.5
Greece,2008,12.2
Greece,2009,11.5
Greece,2010,10.9
Greece,2011,10.6
Greece,2012,10.4
Greece,2013,9.6
Greece,2014,9.4
Greece,2015,9.1
Greece,2016,8.8
Greece,2017,9.2
Hungary,1990,9.1
Hungary,1991,8.4
Hungary,1992,7.5
Hungary,1993,7.6
Hungary,1994,7.5
Hungary,1995,7.3
Hungary,1996,7.6
Hungary,1997,7.5
Hungary,1998,7.4
Hungary,1999,7.5
Hungary,2000,7.2
Hungary,2001,7.5
Hungary,2002,7.3
Hungary,2003,7.6
Hungary,2004,7.6
Hungary,2005,7.6
Hungary,2006,7.4
Hungary,2007,7.3
Hungary,2008,7.1
Hungary,2009,6.5
Hungary,2010,6.6
Hungary,2011,6.4
Hungary,2012,6.1
Hungary,2013,5.8
Hungary,2014,5.9
Hungary,2015,6.2
Hungary,2016,6.3
Hungary,2017,6.6
Iceland,1990,15
Iceland,1991,14
Iceland,1992,13.4
Iceland,1993,13.6
Iceland,1994,13.2
Iceland,1995,13.7
Iceland,1996,13.9
Iceland,1997,14.5
Iceland,1998,15.1
Iceland,1999,15.9
Iceland,2000,15.8
Iceland,2001,15
Iceland,2002,15
Iceland,2003,14.9
Iceland,2004,15.3
Iceland,2005,14.7
Iceland,2006,16.6
Iceland,2007,17.2
Iceland,2008,17.9
Iceland,2009,16.6
Iceland,2010,16.4
Iceland,2011,15.7
Iceland,2012,15.7
Iceland,2013,15.8
Iceland,2014,15.9
Iceland,2015,16.3
Iceland,2016,16.6
Iceland,2017,17.2
Ireland,1990,16.1
Ireland,1991,16.2
Ireland,1992,16
Ireland,1993,16.1
Ireland,1994,16.4
Ireland,1995,16.7
Ireland,1996,17.1
Ireland,1997,17.4
Ireland,1998,17.9
Ireland,1999,18.1
Ireland,2000,18.5
Ireland,2001,18.8
Ireland,2002,18
Ireland,2003,17.8
Ireland,2004,17.2
Ireland,2005,17.3
Ireland,2006,16.8
Ireland,2007,16.2
Ireland,2008,15.6
Ireland,2009,14.1
Ireland,2010,13.9
Ireland,2011,12.9
Ireland,2012,12.9
Ireland,2013,12.9
Ireland,2014,12.7
Ireland,2015,13.1
Ireland,2016,13.4
Ireland,2017,13.3
Italy,1990,9.2
Italy,1991,9.2
Italy,1992,9.2
Italy,1993,9.1
Italy,1994,9
Italy,1995,9.5
Italy,1996,9.3
Italy,1997,9.5
Italy,1998,9.7
Italy,1999,9.8
Italy,2000,9.9
Italy,2001,10
Italy,2002,10
Italy,2003,10.2
Italy,2004,10.2
Italy,2005,10.2
Italy,2006,10
Italy,2007,9.8
Italy,2008,9.5
Italy,2009,8.5
Italy,2010,8.7
Italy,2011,8.5
Italy,2012,8.1
Italy,2013,7.5
Italy,2014,7.2
Italy,2015,7.3
Italy,2016,7.3
Italy,2017,7.3
Latvia,1990,10
Latvia,1991,9.3
Latvia,1992,7.5
Latvia,1993,6.4
Latvia,1994,5.7
Latvia,1995,5.2
Latvia,1996,5.3
Latvia,1997,5.1
Latvia,1998,5
Latvia,1999,4.7
Latvia,2000,4.5
Latvia,2001,4.8
Latvia,2002,4.8
Latvia,2003,5
Latvia,2004,5
Latvia,2005,5.2
Latvia,2006,5.5
Latvia,2007,5.7
Latvia,2008,5.6
Latvia,2009,5.4
Latvia,2010,6
Latvia,2011,5.8
Latvia,2012,5.8
Latvia,2013,5.8
Latvia,2014,5.8
Latvia,2015,5.9
Latvia,2016,6
Latvia,2017,6.1
Liechtenstein,1990,8
Liechtenstein,1991,8.1
Liechtenstein,1992,8
Liechtenstein,1993,8.1
Liechtenstein,1994,7.6
Liechtenstein,1995,7.6
Liechtenstein,1996,7.6
Liechtenstein,1997,8
Liechtenstein,1998,8.2
Liechtenstein,1999,8
Liechtenstein,2000,7.6
Liechtenstein,2001,7.5
Liechtenstein,2002,7.5
Liechtenstein,2003,7.8
Liechtenstein,2004,7.7
Liechtenstein,2005,7.6
Liechtenstein,2006,7.7
Liechtenstein,2007,6.8
Liechtenstein,2008,7.3
Liechtenstein,2009,6.9
Liechtenstein,2010,6.4
Liechtenstein,2011,6
Liechtenstein,2012,6.2
Liechtenstein,2013,6.3
Liechtenstein,2014,5.4
Liechtenstein,2015,5.3
Liechtenstein,2016,5
Liechtenstein,2017,5.1
Lithuania,1990,13.1
Lithuania,1991,13.7
Lithuania,1992,8.4
Lithuania,1993,6.8
Lithuania,1994,6.4
Lithuania,1995,6.2
Lithuania,1996,6.5
Lithuania,1997,6.4
Lithuania,1998,6.7
Lithuania,1999,6
Lithuania,2000,5.6
Lithuania,2001,5.9
Lithuania,2002,6
Lithuania,2003,6.1
Lithuania,2004,6.4
Lithuania,2005,6.9
Lithuania,2006,7.1
Lithuania,2007,7.9
Lithuania,2008,7.7
Lithuania,2009,6.3
Lithuania,2010,6.7
Lithuania,2011,7.1
Lithuania,2012,7.2
Lithuania,2013,6.8
Lithuania,2014,6.9
Lithuania,2015,7
Lithuania,2016,7.1
Lithuania,2017,7.3
Luxembourgh,1990,34.4
Luxembourgh,1991,35.7
Luxembourgh,1992,34.5
Luxembourgh,1993,34.4
Luxembourgh,1994,32.2
Luxembourgh,1995,26.1
Luxembourgh,1996,26
Luxembourgh,1997,24.4
Luxembourgh,1998,22.4
Luxembourgh,1999,23.4
Luxembourgh,2000,24.4
Luxembourgh,2001,25.3
Luxembourgh,2002,27
Luxembourgh,2003,27.8
Luxembourgh,2004,30.7
Luxembourgh,2005,30.8
Luxembourgh,2006,29.7
Luxembourgh,2007,28.2
Luxembourgh,2008,27.5
Luxembourgh,2009,25.8
Luxembourgh,2010,26.5
Luxembourgh,2011,25.6
Luxembourgh,2012,24.3
Luxembourgh,2013,22.7
Luxembourgh,2014,21.5
Luxembourgh,2015,20.4
Luxembourgh,2016,19.9
Luxembourgh,2017,20
Malta,1990,6.5
Malta,1991,6.8
Malta,1992,7.4
Malta,1993,7.4
Malta,1994,8
Malta,1995,8
Malta,1996,7.8
Malta,1997,7.9
Malta,1998,7.9
Malta,1999,8
Malta,2000,7.9
Malta,2001,7.5
Malta,2002,7.4
Malta,2003,7.9
Malta,2004,7.7
Malta,2005,7.9
Malta,2006,8
Malta,2007,8.2
Malta,2008,8.2
Malta,2009,7.6
Malta,2010,7.8
Malta,2011,8
Malta,2012,8.3
Malta,2013,7.5
Malta,2014,7.4
Malta,2015,5.7
Malta,2016,5
Malta,2017,5.5
Netherlands,1990,15.1
Netherlands,1991,15.5
Netherlands,1992,15.5
Netherlands,1993,15.5
Netherlands,1994,15.5
Netherlands,1995,15.5
Netherlands,1996,16.2
Netherlands,1997,15.6
Netherlands,1998,15.6
Netherlands,1999,14.6
Netherlands,2000,14.4
Netherlands,2001,14.3
Netherlands,2002,14.1
Netherlands,2003,14.1
Netherlands,2004,14.2
Netherlands,2005,13.8
Netherlands,2006,13.5
Netherlands,2007,13.4
Netherlands,2008,13.3
Netherlands,2009,12.8
Netherlands,2010,13.5
Netherlands,2011,12.6
Netherlands,2012,12.3
Netherlands,2013,12.3
Netherlands,2014,11.8
Netherlands,2015,12.2
Netherlands,2016,12.2
Netherlands,2017,12
Norway,1990,12.2
Norway,1991,11.6
Norway,1992,11.2
Norway,1993,11.5
Norway,1994,11.9
Norway,1995,11.9
Norway,1996,12.5
Norway,1997,12.5
Norway,1998,12.5
Norway,1999,12.6
Norway,2000,12.4
Norway,2001,12.6
Norway,2002,12.3
Norway,2003,12.4
Norway,2004,12.4
Norway,2005,12.2
Norway,2006,12.1
Norway,2007,12.3
Norway,2008,11.9
Norway,2009,11.2
Norway,2010,11.6
Norway,2011,11.3
Norway,2012,11.1
Norway,2013,11
Norway,2014,10.9
Norway,2015,10.8
Norway,2016,10.5
Norway,2017,10.3
Poland,1990,12.5
Poland,1991,12.1
Poland,1992,11.7
Poland,1993,11.7
Poland,1994,11.5
Poland,1995,11.5
Poland,1996,11.9
Poland,1997,11.7
Poland,1998,10.8
Poland,1999,10.5
Poland,2000,10.4
Poland,2001,10.3
Poland,2002,10.1
Poland,2003,10.4
Poland,2004,10.6
Poland,2005,10.6
Poland,2006,11
Poland,2007,11
Poland,2008,10.8
Poland,2009,10.3
Poland,2010,10.9
Poland,2011,10.8
Poland,2012,10.6
Poland,2013,10.6
Poland,2014,10.2
Poland,2015,10.3
Poland,2016,10.6
Poland,2017,11
Portugal,1990,6.1
Portugal,1991,6.3
Portugal,1992,6.7
Portugal,1993,6.6
Portugal,1994,6.6
Portugal,1995,7.1
Portugal,1996,6.8
Portugal,1997,7.1
Portugal,1998,7.5
Portugal,1999,8.3
Portugal,2000,8.2
Portugal,2001,8.1
Portugal,2002,8.4
Portugal,2003,7.9
Portugal,2004,8.2
Portugal,2005,8.4
Portugal,2006,7.9
Portugal,2007,7.7
Portugal,2008,7.5
Portugal,2009,7.2
Portugal,2010,6.8
Portugal,2011,6.7
Portugal,2012,6.5
Portugal,2013,6.4
Portugal,2014,6.4
Portugal,2015,6.9
Portugal,2016,6.7
Portugal,2017,7.2
Romania,1990,10.7
Romania,1991,8.9
Romania,1992,8.4
Romania,1993,8
Romania,1994,8
Romania,1995,8.3
Romania,1996,8.4
Romania,1997,8.3
Romania,1998,7.4
Romania,1999,6.6
Romania,2000,6.4
Romania,2001,6.6
Romania,2002,6.9
Romania,2003,7.1
Romania,2004,7.1
Romania,2005,7.1
Romania,2006,7.2
Romania,2007,7.4
Romania,2008,7.3
Romania,2009,6.4
Romania,2010,6.1
Romania,2011,6.4
Romania,2012,6.3
Romania,2013,5.8
Romania,2014,5.9
Romania,2015,5.9
Romania,2016,5.8
Romania,2017,5.9
Slovakia,1990,13.9
Slovakia,1991,12.1
Slovakia,1992,11
Slovakia,1993,10.3
Slovakia,1994,9.9
Slovakia,1995,9.9
Slovakia,1996,9.9
Slovakia,1997,9.9
Slovakia,1998,9.7
Slovakia,1999,9.5
Slovakia,2000,9.1
Slovakia,2001,9.6
Slovakia,2002,9.3
Slovakia,2003,9.4
Slovakia,2004,9.5
Slovakia,2005,9.5
Slovakia,2006,9.5
Slovakia,2007,9.2
Slovakia,2008,9.3
Slovakia,2009,8.5
Slovakia,2010,8.6
Slovakia,2011,8.5
Slovakia,2012,8
Slovakia,2013,7.9
Slovakia,2014,7.5
Slovakia,2015,7.7
Slovakia,2016,7.8
Slovakia,2017,8
Slovenia,1990,9.4
Slovenia,1991,8.7
Slovenia,1992,8.7
Slovenia,1993,8.9
Slovenia,1994,9.1
Slovenia,1995,9.4
Slovenia,1996,9.8
Slovenia,1997,10
Slovenia,1998,9.8
Slovenia,1999,9.5
Slovenia,2000,9.6
Slovenia,2001,10.1
Slovenia,2002,10.2
Slovenia,2003,10
Slovenia,2004,10.2
Slovenia,2005,10.3
Slovenia,2006,10.4
Slovenia,2007,10.4
Slovenia,2008,10.7
Slovenia,2009,9.6
Slovenia,2010,9.6
Slovenia,2011,9.6
Slovenia,2012,9.3
Slovenia,2013,8.9
Slovenia,2014,8.1
Slovenia,2015,8.2
Slovenia,2016,8.6
Slovenia,2017,8.5
Spain,1990,7.5
Spain,1991,7.7
Spain,1992,8
Spain,1993,7.7
Spain,1994,8.1
Spain,1995,8.4
Spain,1996,8.2
Spain,1997,8.5
Spain,1998,8.8
Spain,1999,9.4
Spain,2000,9.8
Spain,2001,9.7
Spain,2002,10
Spain,2003,10
Spain,2004,10.2
Spain,2005,10.4
Spain,2006,10
Spain,2007,10.1
Spain,2008,9.2
Spain,2009,8.3
Spain,2010,7.9
Spain,2011,7.9
Spain,2012,7.8
Spain,2013,7.2
Spain,2014,7.3
Spain,2015,7.6
Spain,2016,7.4
Spain,2017,7.7
Sweden,1990,8.5
Sweden,1991,8.4
Sweden,1992,8.3
Sweden,1993,8.3
Sweden,1994,8.5
Sweden,1995,8.5
Sweden,1996,8.9
Sweden,1997,8.3
Sweden,1998,8.4
Sweden,1999,8.1
Sweden,2000,7.9
Sweden,2001,8
Sweden,2002,8
Sweden,2003,8
Sweden,2004,7.9
Sweden,2005,7.6
Sweden,2006,7.6
Sweden,2007,7.3
Sweden,2008,7.1
Sweden,2009,6.5
Sweden,2010,7.1
Sweden,2011,6.6
Sweden,2012,6.2
Sweden,2013,6
Sweden,2014,5.8
Sweden,2015,5.7
Sweden,2016,5.6
Sweden,2017,5.5
Switzerland,1990,8.4
Switzerland,1991,8.6
Switzerland,1992,8.5
Switzerland,1993,8.1
Switzerland,1994,7.9
Switzerland,1995,8
Switzerland,1996,8
Switzerland,1997,7.9
Switzerland,1998,8.1
Switzerland,1999,8.1
Switzerland,2000,8
Switzerland,2001,8.1
Switzerland,2002,7.8
Switzerland,2003,7.8
Switzerland,2004,7.8
Switzerland,2005,7.8
Switzerland,2006,7.8
Switzerland,2007,7.5
Switzerland,2008,7.6
Switzerland,2009,7.3
Switzerland,2010,7.5
Switzerland,2011,6.9
Switzerland,2012,7
Switzerland,2013,7.1
Switzerland,2014,6.5
Switzerland,2015,6.4
Switzerland,2016,6.4
Switzerland,2017,6.2
Turkey,1990,3.9
Turkey,1991,4
Turkey,1992,4
Turkey,1993,4.1
Turkey,1994,3.9
Turkey,1995,4
Turkey,1996,4.3
Turkey,1997,4.4
Turkey,1998,4.3
Turkey,1999,4.2
Turkey,2000,4.6
Turkey,2001,4.3
Turkey,2002,4.4
Turkey,2003,4.6
Turkey,2004,4.7
Turkey,2005,5
Turkey,2006,5.2
Turkey,2007,5.6
Turkey,2008,5.5
Turkey,2009,5.6
Turkey,2010,5.5
Turkey,2011,5.9
Turkey,2012,6
Turkey,2013,5.9
Turkey,2014,6.1
Turkey,2015,6.2
Turkey,2016,6.4
Turkey,2017,6.7
UK,1990,14.1
UK,1991,14.3
UK,1992,13.9
UK,1993,13.5
UK,1994,13.4
UK,1995,13.2
UK,1996,13.6
UK,1997,13.1
UK,1998,13.1
UK,1999,12.6
UK,2000,12.6
UK,2001,12.6
UK,2002,12.2
UK,2003,12.3
UK,2004,12.2
UK,2005,12
UK,2006,11.8
UK,2007,11.5
UK,2008,11.1
UK,2009,10.1
UK,2010,10.2
UK,2011,9.4
UK,2012,9.6
UK,2013,9.3
UK,2014,8.6
UK,2015,8.3
UK,2016,7.9
UK,2017,7.7
